layer,cos_ASR_Mixed,relfrob_ASR_Mixed,meanangle_deg_ASR_Mixed,cos_ASR_QA,relfrob_ASR_QA,meanangle_deg_ASR_QA,cos_Mixed_QA,relfrob_Mixed_QA,meanangle_deg_Mixed_QA
0,0.8097514134078713,0.6009694563995293,37.298594520413815,0.4379545901233375,1.1930516996821077,69.90420863486437,0.8792126279563264,0.6357573798240694,43.938546071969434
1,0.8590176426572477,0.5129467494861601,36.83405277140502,0.5091859939841072,1.0250293519395088,69.96679568163412,0.875046403463047,0.5807225626182315,44.08857237356177
2,0.8837371198219847,0.46802629400212586,36.37388876907992,0.5646933005093303,0.9349105936269806,70.10022078217918,0.8823346488313548,0.5379013284516962,44.337245837755624
3,0.8900435688828138,0.4561101787168775,36.66146258181405,0.5795904752001394,0.9118357225465513,70.1082664625247,0.8845253498021977,0.5266940292329194,44.19593198913098
4,0.8925122788975102,0.45105850537239667,36.99617944386093,0.5938534538498466,0.9022384676403563,69.6655847122575,0.8902749710547797,0.5154736463353843,43.49263109388757
5,0.8947323590375371,0.44660722157405836,37.54747259209257,0.6030616108008332,0.8942808545082979,69.41080941016664,0.8933689357497948,0.5083066051675597,43.44165525520134
6,0.8971673649206642,0.4416815659442802,37.621917339851265,0.6165503613435293,0.8844557278865876,69.24875827804954,0.8985214578143559,0.4974827564197548,42.81541267028479
7,0.9046714029221394,0.4261179615967068,38.36006135727983,0.6416656570310605,0.8540220764387589,68.82771479731879,0.9051774461501347,0.47700628859729344,42.583067516537554
8,0.9198102052479119,0.3925708888139325,36.98043794971786,0.6867735729716544,0.788694123340181,68.33429464250202,0.9153945696329078,0.4393669478361091,44.24753747697076
9,0.9212540717540924,0.38903084022139345,38.52951081808123,0.6977731861091023,0.7815584766276862,67.55196577905848,0.9200120115076362,0.43031003460715017,42.426139416117536
10,0.9233340890739848,0.38406958772922584,39.10896888585311,0.7047017599933004,0.7716902329877869,67.27474388937121,0.9217238759689917,0.42456292332640533,42.684619135010884
11,0.9253681505963179,0.37913371513341615,39.29959185750141,0.7143037582888598,0.7616655856819384,66.90796979621716,0.9249280932097155,0.416565239487338,41.70865624457672
12,0.9280274771215927,0.3726548703706449,41.47405303639187,0.7278883047175334,0.7482310612551883,66.35504624305338,0.9296340228508913,0.40505420678755655,40.61502537843047
13,0.9302607011703992,0.36737144385006576,42.10518208111639,0.7412448883716326,0.7371254612832142,65.55863784409082,0.9345815849819784,0.3938770166367442,38.284785354540375
14,0.9332466828784389,0.3597969708370909,42.780316132151846,0.7531468498979116,0.7215234577149914,64.85773934049259,0.9380003777032063,0.38350557404846686,37.38433137039784
15,0.935946510680073,0.35335786934419083,45.048278899109846,0.7671562108578998,0.7084385999044782,64.41089904391636,0.9427713946439822,0.37172304333857487,36.67877711396157
16,0.9389240466760819,0.34615166912592443,45.51963200754811,0.7811905198079258,0.6938326906850182,63.534252719334916,0.9472575614976607,0.35975734248673463,34.359372923091904
17,0.9417651633168144,0.3391606991967245,45.702969159445075,0.7936683919494572,0.6799649423778841,62.820079820896574,0.9510373413801312,0.3491292420543881,34.18020667734534
18,0.9448939759050999,0.33095910398813283,46.96269615527136,0.805910977779755,0.6635383903911903,62.96651164068414,0.9544178108479185,0.33811356670404413,32.975702671492556
19,0.947165292046066,0.3254087178250792,46.91080500677584,0.8153917404782379,0.6531973425212759,62.555979279220516,0.9571724690778275,0.33029776073781064,32.56197296928014
20,0.9504021054136393,0.31610051398352906,46.674120088114364,0.8265187524427178,0.635137795469355,60.83004867380849,0.959865249118815,0.31986840852443,30.044856061233002
21,0.9531972670047685,0.3085189692467039,47.285422054212354,0.837224057516507,0.6205047408600304,62.46107549118322,0.9627293185585565,0.31021055520280666,32.8469585690427
22,0.9564062293308431,0.2988824376341079,50.035237147945864,0.8483558194550849,0.601887370493517,63.90791018616691,0.9654055076854187,0.29952938599024576,31.644664935594882
23,0.9589352322937001,0.2917318030957329,48.567038962813996,0.8576002235986833,0.5885949270624685,63.0295456720845,0.9677457889550872,0.29118451080670443,30.425114157858793
24,0.9625374193189736,0.2790163611462003,50.05619010024004,0.8689451248543124,0.5636041634911398,63.048640051581636,0.970144260530238,0.27866935486233935,31.624565603635066
25,0.9652934721340978,0.2696565124744989,48.154066891865405,0.8780357474287167,0.5457807860462596,63.10433608335449,0.9721725812113258,0.2692340428751385,31.376287611750236
26,0.9680126232156614,0.2593059287486315,47.46302594966919,0.8866428983683313,0.5257870550668869,61.52150768024194,0.9739853042951135,0.2594332119896196,29.223658752445317
27,0.9716692130793677,0.2442069538901936,48.573720098769044,0.8983098279251359,0.49590750730275407,62.657051773102644,0.9764304108348891,0.24501972459611,31.167919313281473
28,0.9774233862310919,0.2177750821840469,51.95420397155539,0.9176148664954663,0.4411239772646161,64.02319958147076,0.9806781879846667,0.2180051029412924,30.862840063711023
29,0.9811107843408466,0.1992269144067647,47.21413764289472,0.9297853940633144,0.40458688731589904,58.87424786956549,0.9832819637171103,0.200581724616306,25.729102023805897
30,0.9930575911799389,0.11889941491015907,40.964107304034364,0.9736543487067315,0.23562419475653643,46.093652959176566,0.9936609059655751,0.1161579305871212,32.157169139152174
